,total_inquiries,total_home_inquiries,total_shared_inquiries,total_private_inquiries,guest_rate,guest_return_rate,host_return_rate,interaction_rate,message_rate,total_contact_me,total_book_it,total_instant_book,pct_contact_me,pct_book_it,pct_instant_book,pct_past_booker,pct_new_user,total_replies,reply_rate,avg_reply_time,total_accepted,accepted_rate,avg_accepted_time,total_booking,booking_rate,avg_booking_time
2016-01-02 12:24:15,35.0,28.0,0.0,7.0,2.4571428571428573,0.0,0.0,10.114285714285714,201.68571428571428,12.0,14.0,9.0,0.34285714285714286,0.4,0.2571428571428571,0.4857142857142857,0.5142857142857142,30.0,0.8571428571428571,0.024815586419753087,17.0,0.4857142857142857,0.009791666666666667,14.0,0.4,0.009325396825396825
2016-01-03 12:24:15,66.0,59.0,0.0,7.0,2.9242424242424243,0.03225806451612903,0.125,7.318181818181818,164.87878787878788,25.0,27.0,14.0,0.3787878787878788,0.4090909090909091,0.21212121212121213,0.42424242424242425,0.5606060606060606,59.0,0.8939393939393939,0.07599576271186441,35.0,0.5303030303030303,0.10394378306878307,26.0,0.3939393939393939,0.08298744658119658
2016-01-04 12:24:15,54.0,43.0,0.0,11.0,3.185185185185185,0.03773584905660377,0.2708333333333333,7.944444444444445,231.72222222222223,28.0,11.0,15.0,0.5185185185185185,0.2037037037037037,0.2777777777777778,0.35185185185185186,0.6481481481481481,45.0,0.8333333333333334,0.04081558641975309,31.0,0.5740740740740741,0.06681488948626045,19.0,0.35185185185185186,0.007364766081871345
2016-01-05 12:24:15,87.0,83.0,0.0,4.0,3.689655172413793,0.0,0.1891891891891892,7.9655172413793105,211.29885057471265,51.0,22.0,14.0,0.5862068965517241,0.25287356321839083,0.16091954022988506,0.367816091954023,0.632183908045977,71.0,0.8160919540229885,0.060957061815336465,36.0,0.41379310344827586,0.13767007458847738,21.0,0.2413793103448276,0.06053295855379189
2016-01-06 12:24:15,95.0,86.0,0.0,9.0,3.831578947368421,0.034482758620689655,0.2716049382716049,7.842105263157895,162.44210526315788,63.0,17.0,15.0,0.6631578947368421,0.17894736842105263,0.15789473684210525,0.3263157894736842,0.6736842105263158,75.0,0.7894736842105263,0.07045354938271604,48.0,0.5052631578947369,0.08361352237654321,29.0,0.30526315789473685,0.1867859993614304
2016-01-07 12:24:15,117.0,104.0,2.0,11.0,3.1880341880341883,0.009345794392523364,0.3333333333333333,6.076923076923077,195.77777777777777,64.0,35.0,18.0,0.5470085470085471,0.29914529914529914,0.15384615384615385,0.46153846153846156,0.5384615384615384,93.0,0.7948717948717948,0.07501505874153723,48.0,0.41025641025641024,0.09560667438271604,31.0,0.26495726495726496,0.0846143219832736
2016-01-08 12:24:15,101.0,91.0,0.0,10.0,3.4752475247524752,0.044444444444444446,0.4358974358974359,8.504950495049505,245.65346534653466,52.0,32.0,17.0,0.5148514851485149,0.31683168316831684,0.16831683168316833,0.37623762376237624,0.6237623762376238,80.0,0.7920792079207921,0.08476721643518519,41.0,0.40594059405940597,0.1578856142728094,30.0,0.297029702970297,0.10909336419753085
2016-01-09 12:24:15,64.0,57.0,0.0,7.0,3.140625,0.03278688524590164,0.36363636363636365,6.6875,243.1875,35.0,17.0,12.0,0.546875,0.265625,0.1875,0.390625,0.59375,54.0,0.84375,0.0966358024691358,32.0,0.5,0.16580910011574074,20.0,0.3125,0.11771064814814816
2016-01-10 12:24:15,69.0,59.0,0.0,10.0,2.7681159420289854,0.078125,0.41935483870967744,8.144927536231885,248.81159420289856,22.0,27.0,20.0,0.3188405797101449,0.391304347826087,0.2898550724637681,0.37681159420289856,0.6231884057971014,61.0,0.8840579710144928,0.07425698239222829,48.0,0.6956521739130435,0.14948326581790122,35.0,0.5072463768115942,0.09253306878306879
2016-01-11 12:24:15,78.0,62.0,0.0,16.0,2.91025641025641,0.02702702702702703,0.3442622950819672,10.038461538461538,227.6153846153846,34.0,23.0,21.0,0.4358974358974359,0.2948717948717949,0.2692307692307692,0.5,0.5,73.0,0.9358974358974359,0.04438911085743277,43.0,0.5512820512820513,0.051530738587424636,35.0,0.44871794871794873,0.0690380291005291
2016-01-12 12:24:15,91.0,81.0,0.0,10.0,3.5494505494505493,0.03571428571428571,0.2857142857142857,5.241758241758242,193.3186813186813,53.0,26.0,12.0,0.5824175824175825,0.2857142857142857,0.13186813186813187,0.32967032967032966,0.6703296703296703,74.0,0.8131868131868132,0.08743368368368368,33.0,0.3626373626373626,0.16359497755331087,23.0,0.25274725274725274,0.049371477455716586
2016-01-13 12:24:15,107.0,94.0,1.0,12.0,3.5794392523364484,0.041237113402061855,0.40229885057471265,6.598130841121495,211.13084112149534,64.0,32.0,11.0,0.5981308411214953,0.29906542056074764,0.102803738317757,0.2803738317757009,0.719626168224299,86.0,0.8037383177570093,0.08459113910422049,35.0,0.32710280373831774,0.13088789682539684,21.0,0.19626168224299065,0.1228692680776014
2016-01-14 12:24:15,91.0,77.0,1.0,13.0,3.4615384615384617,0.07058823529411765,0.3194444444444444,5.362637362637362,218.57142857142858,48.0,33.0,10.0,0.5274725274725275,0.3626373626373626,0.10989010989010989,0.2857142857142857,0.7142857142857143,82.0,0.9010989010989011,0.06555033310749774,30.0,0.32967032967032966,0.12594753086419752,23.0,0.25274725274725274,0.08643367552334943
