inquiry_date,n_inquired,n_inquired_ni,n_replied,n_replied_ni,n_accepted,n_accepted_ni,n_booked,n_booked_ni,n_interacted,n_interacted_ni,n_instant_book,n_instant_book_ni,n_book_it,n_book_it_ni,n_contact_me,n_contact_me_ni,avg_reply_time,avg_reply_time_ni,avg_accept_time,avg_accept_time_ni,avg_book_it_accept_time,avg_book_time,avg_book_time_ni,avg_contact_me_book_time,reply_rate,reply_rate_ni,accept_rate,accept_rate_ni,book_it_accept_rate,book_rate,book_rate_ni,instant_book_rate,instant_book_rate_ni,instant_book_share,expected_instant_book_share,instant_book_conversion_rate,expected_instant_book_conversion_rate,book_it_rate,book_it_rate_ni,book_it_share,expected_book_it_share,book_it_conversion_rate,expected_book_it_conversion_rate,contact_me_rate,contact_me_rate_ni,contact_me_share,expected_contact_me_share,contact_me_conversion_rate,expected_contact_me_conversion_rate,avg_interactions,avg_interactions_ni,avg_book_it_interactions,avg_contact_me_interactions,avg_inquiry_length,avg_inquiry_length_ni,reply_alpha,reply_beta,expected_reply_rate,accept_alpha,accept_beta,expected_accept_rate,book_alpha,book_beta,expected_book_rate,interact_alpha,interact_beta,expected_interact_rate,day,month,year
2016-01-01,56,36,50,30,33,13,27,7,56,36,20,0,17,17,19,19,0.6315944444444445,1.0414722222222221,4.246498316498317,10.753760683760685,11.693055555555556,3.455555555555556,13.280634920634922,37.05715277777777,0.8928571428571429,0.8333333333333334,0.5892857142857143,0.3611111111111111,0.47058823529411764,0.48214285714285715,0.19444444444444445,0.7407407407407407,0.0,0.35714285714285715,0.3684210526315789,1.0,1.0,0.6296296296296297,2.4285714285714284,0.30357142857142855,0.3157894736842105,0.4117647058823529,0.4444444444444444,0.7037037037037037,2.7142857142857144,0.3392857142857143,0.3508771929824561,0.0,0.05,9.071428571428571,5.916666666666667,7.235294117647059,6.473684210526316,241.98039215686273,266.45714285714286,51,7,0.8793103448275862,34,24,0.5862068965517241,28,30,0.4827586206896552,57,1,0.9827586206896551,Friday,January,2016
2016-01-02,117,92,100,75,66,41,49,24,117,92,25,0,44,44,48,48,0.9956083333333333,1.3020666666666667,1.336624579124579,2.1051558265582653,2.8636388888888886,1.6592233560090703,3.308171296296296,4.453166666666666,0.8547008547008547,0.8152173913043478,0.5641025641025641,0.44565217391304346,0.45454545454545453,0.4188034188034188,0.2608695652173913,0.5102040816326531,0.0,0.21367521367521367,0.26436781609195403,1.0,1.0,0.8979591836734694,1.8333333333333333,0.37606837606837606,0.3563218390804598,0.4318181818181818,0.43548387096774194,0.9795918367346939,2.0,0.41025641025641024,0.39080459770114945,0.10416666666666667,0.08823529411764706,9.41025641025641,7.934782608695652,8.022727272727273,7.354166666666667,183.94444444444446,176.29761904761904,151,24,0.8628571428571429,100,75,0.5714285714285714,77,98,0.44,174,1,0.9896958086613259,Saturday,January,2016
2016-01-03,122,89,99,66,64,31,49,16,122,89,33,0,40,40,49,49,1.0619388327721662,1.5863131313131313,3.9390711805555556,8.11823476702509,9.74734375,3.51327664399093,10.73220486111111,37.05715277777777,0.8114754098360656,0.7415730337078652,0.5245901639344263,0.34831460674157305,0.4,0.4016393442622951,0.1797752808988764,0.673469387755102,0.0,0.27049180327868855,0.2668918918918919,1.0,1.0,0.8163265306122449,1.803763440860215,0.32786885245901637,0.34459459459459457,0.4,0.4215686274509804,1.0,3.0625,0.4016393442622951,0.3952702702702703,0.0,0.06923180230996509,7.098360655737705,5.213483146067416,6.55,5.346938775510204,257.5809523809524,241.84810126582278,250,47,0.8417508417508418,164,133,0.5521885521885522,126,171,0.42424242424242425,296,1,0.9938148464794232,Sunday,January,2016
2016-01-04,187,157,153,123,93,63,61,31,187,157,30,0,55,55,102,102,1.0220334059549745,1.2367773261065944,5.884525089605735,8.619259259259259,3.543230452674897,6.350869763205829,12.359856630824373,58.01388888888889,0.8181818181818182,0.7834394904458599,0.49732620320855614,0.4012738853503185,0.4909090909090909,0.3459089578454333,0.19745222929936307,0.4918032786885246,0.0,0.16042780748663102,0.22567287784679088,1.0,1.0,0.9016393442622951,1.7741935483870968,0.29411764705882354,0.3250517598343685,0.4727272727272727,0.4394904458598726,1.523076923076923,3.2903225806451615,0.5454545454545454,0.453416149068323,0.049019607843137254,0.064445446609528,7.962566844919786,6.630573248407643,8.581818181818182,4.627450980392157,253.40853658536585,259.73571428571427,403,81,0.8326446280991735,257,227,0.53099173553719,187,297,0.38636363636363635,483,1,0.9962012085504461,Monday,January,2016
2016-01-05,224,183,175,134,96,55,65,24,224,183,41,0,50,50,133,133,0.9255682539682539,1.2031716417910447,1.917769097222222,3.333752525252525,2.605425925925926,2.271957264957265,6.121990740740741,10.797583333333332,0.8067743067743067,0.73224043715847,0.4571573100984866,0.3005464480874317,0.3,0.2984371044053421,0.13114754098360656,0.6307692307692307,0.0,0.18303571428571427,0.21216407355021216,1.0,1.0,0.7692307692307693,2.0833333333333335,0.22321428571428573,0.2927864214992928,0.28,0.40096618357487923,2.0153846153846153,4.274193548387097,0.59375,0.49787835926449786,0.07518796992481203,0.05965909090909091,6.294642857142857,4.4863387978142075,4.54,1.7067669172932332,213.85427135678393,211.82738095238096,578,130,0.8163841807909604,353,355,0.4985875706214689,252,456,0.3559322033898305,707,1,0.9975835411935271,Tuesday,January,2016
2016-01-06,259,225,206,172,108,74,65,31,259,225,34,0,62,62,163,163,1.0742691477885653,1.2768200904392764,5.341177983539094,7.772443693693694,5.1858012820512815,4.536564102564102,9.457750896057348,28.28675925925926,0.8072333072333072,0.7644444444444445,0.4614846379552262,0.3288888888888889,0.41935483870967744,0.31588521886933774,0.13777777777777778,0.5230769230769231,0.0,0.13127413127413126,0.19047619047619047,1.0,1.0,0.9538461538461539,2.0,0.23938223938223938,0.2784679089026915,0.4032258064516129,0.40148698884758366,1.764102564102564,3.7759856630824373,0.6293436293436293,0.5331262939958592,0.03680981595092025,0.05242718446601942,6.586872586872587,5.937777777777778,9.435483870967742,3.588957055214724,208.59071729957805,205.97652582159625,784,183,0.8107549120992761,461,506,0.4767321613236815,317,650,0.327817993795243,966,1,0.9983754508632081,Wednesday,January,2016
2016-01-07,234,192,189,147,109,67,78,36,234,192,42,0,74,74,118,118,0.8242004703115814,1.019484126984127,3.9449184505606527,6.329643449419569,8.889501915708813,5.023750000000001,10.720625,21.24833333333333,0.8076923076923077,0.765625,0.4580150462503404,0.3489583333333333,0.3918918918918919,0.3210442137127437,0.1875,0.5384615384615384,0.0,0.1794871794871795,0.18833333333333332,1.0,1.0,0.9487179487179487,2.0555555555555554,0.3162393162393162,0.28583333333333333,0.3783783783783784,0.3965014577259475,1.6361496427070197,3.2777777777777777,0.5042735042735043,0.5275,0.06779661016949153,0.05529225908372828,7.948717948717949,6.619791666666667,7.756756756756757,4.864406779661017,228.74019607843138,228.40804597701148,973,228,0.8101582014987511,570,631,0.4746044962531224,395,806,0.3288925895087427,1200,1,0.9988274948840536,Thursday,January,2016
2016-01-08,187,152,145,110,85,50,61,26,187,152,35,0,60,60,92,92,0.9312720306513409,1.2078964646464647,4.54759477124183,7.687577777777777,4.727326388888889,4.053834244080146,9.427585470085472,37.62888888888889,0.8167493796526055,0.7236842105263158,0.48384623280258954,0.32894736842105265,0.4,0.33471565524346863,0.17105263157894737,0.5737704918032787,0.0,0.18716577540106952,0.18817591925018023,1.0,1.0,0.9002849002849003,2.3076923076923075,0.32085561497326204,0.2905551550108147,0.36666666666666664,0.3920595533498759,1.503260006538695,3.5384615384615383,0.4919786096256685,0.5227108868060563,0.043478260869565216,0.05379310344827586,8.352941176470589,7.342105263157895,10.283333333333333,6.706521739130435,242.7674418604651,235.2206896551724,1118,270,0.8088380119613003,655,733,0.4719020172910663,456,932,0.3285302593659942,1387,1,0.9990897033720333,Friday,January,2016
2016-01-09,155,120,128,93,79,44,54,19,155,120,35,0,46,46,74,74,0.7590234375,1.0266039426523297,2.1061779184247538,3.7433459595959593,3.559151234567901,1.6626491769547325,4.636959064327486,10.935462962962964,0.8258064516129032,0.775,0.5096774193548387,0.36666666666666664,0.391304347826087,0.34838709677419355,0.15833333333333333,0.6481481481481481,0.0,0.22580645161290322,0.191958495460441,1.0,1.0,0.8518518518518519,2.4210526315789473,0.2967741935483871,0.2911802853437095,0.34782608695652173,0.38752783964365256,1.3531925032693475,3.8947368421052633,0.4774193548387097,0.5181582360570688,0.04054054054054054,0.052565707133917394,7.27741935483871,6.125,7.826086956521739,4.864864864864865,223.27659574468086,220.0796460176991,1246,297,0.8075178224238496,734,809,0.4756966947504861,510,1033,0.3305249513933895,1542,1,0.9992502140902595,Saturday,January,2016
2016-01-10,154,113,133,92,81,40,64,23,154,113,41,0,36,36,77,77,0.9832121971595655,1.3582608695652174,6.015606995884774,12.036375,4.581862745098039,2.3828847736625516,5.61654996867168,7.935231481481482,0.8636363636363636,0.8141592920353983,0.525974025974026,0.35398230088495575,0.4722222222222222,0.4155844155844156,0.20353982300884957,0.640625,0.0,0.2662337662337662,0.19870283018867924,1.0,1.0,0.5625,1.565217391304348,0.23376623376623376,0.28596698113207547,0.4444444444444444,0.3917525773195876,1.203125,3.347826086956522,0.5,0.5165094339622641,0.09090909090909091,0.05593607305936073,9.746753246753247,7.548672566371682,6.666666666666667,3.116883116883117,246.6950354609929,233.40776699029126,1379,318,0.8126104890984089,815,882,0.48025928108426635,574,1123,0.33824395992928696,1696,1,0.9993652317852545,Sunday,January,2016
